 Iteration 0, loss = 24.9904
 Iteration 100, loss = 13.2174
 Iteration 200, loss = 9.90093
 Iteration 300, loss = 6.80143
 Iteration 400, loss = 7.50721
 Iteration 500, loss = 6.15214
 Iteration 600, loss = 6.80073
 Iteration 700, loss = 5.60695
 Iteration 800, loss = 6.12376
 Iteration 900, loss = 5.48812
 Iteration 1000, loss = 5.79803
 Iteration 1100, loss = 5.31729
 Iteration 1200, loss = 5.4988
 Iteration 1300, loss = 5.25925
 Iteration 1400, loss = 6.13833
 Iteration 1500, loss = 5.11
 Iteration 1600, loss = 6.19542
 Iteration 1700, loss = 4.94542
 Iteration 1800, loss = 5.83741
 Iteration 1900, loss = 4.85612
 Iteration 2000, loss = 5.17569
 Iteration 2100, loss = 4.76228
 Iteration 2200, loss = 5.45241
 Iteration 2300, loss = 6.06027
 Iteration 2400, loss = 5.12332
 Iteration 2500, loss = 6.38604
 Iteration 2600, loss = 5.11735
 Iteration 2700, loss = 6.13574
 Iteration 2800, loss = 5.00638
 Iteration 2900, loss = 5.38939
 Iteration 3000, loss = 4.61025
 Iteration 3100, loss = 5.06278
 Iteration 3200, loss = 4.62209
 Iteration 3300, loss = 4.81031
 Iteration 3400, loss = 4.41352
 Iteration 3500, loss = 4.99731
 Iteration 3600, loss = 4.32937
 Iteration 3700, loss = 5.66495
 Iteration 3800, loss = 4.32649
 Iteration 3900, loss = 5.66541
 Iteration 4000, loss = 4.3057
 Iteration 4100, loss = 4.85008
 Iteration 4200, loss = 4.37022
 Iteration 4300, loss = 4.58215
 Iteration 4400, loss = 3.45761
 Iteration 4500, loss = 4.71357
 Iteration 4600, loss = 6.34727
 Iteration 4700, loss = 4.55215
 Iteration 4800, loss = 5.65364
 Iteration 4900, loss = 4.55184
 Iteration 5000, loss = 5.25869
 Iteration 5100, loss = 4.21933
 Iteration 5200, loss = 4.85611
 Iteration 5300, loss = 4.27231
 Iteration 5400, loss = 4.46088
 Iteration 5500, loss = 4.06352
 Iteration 5600, loss = 4.43412
 Iteration 5700, loss = 3.8476
 Iteration 5800, loss = 4.8305
 Iteration 5900, loss = 3.87131
 Iteration 6000, loss = 5.08772
 Iteration 6100, loss = 4.12814
 Iteration 6200, loss = 4.71931
 Iteration 6300, loss = 3.95143
 Iteration 6400, loss = 4.11542
 Iteration 6500, loss = 3.62483
 Iteration 6600, loss = 4.29961
 Iteration 6700, loss = 4.21767
 Iteration 6800, loss = 4.15261
 Iteration 6900, loss = 5.89179
 Iteration 7000, loss = 4.18221
 Iteration 7100, loss = 5.36776
 Iteration 7200, loss = 4.11451
 Iteration 7300, loss = 4.59972
 Iteration 7400, loss = 3.69611
 Iteration 7500, loss = 4.43877
 Iteration 7600, loss = 3.91007
 Iteration 7700, loss = 4.02633
 Iteration 7800, loss = 3.34687
 Iteration 7900, loss = 4.09481
 Iteration 8000, loss = 3.44162
 Iteration 8100, loss = 4.77983
 Iteration 8200, loss = 3.63423
 Iteration 8300, loss = 4.787
 Iteration 8400, loss = 3.8558
 Iteration 8500, loss = 4.20699
 Iteration 8600, loss = 3.67689
 Iteration 8700, loss = 3.76097
 Iteration 8800, loss = 3.02161
 Iteration 8900, loss = 4.0181
 Iteration 9000, loss = 5.17298
 Iteration 9100, loss = 3.97976
